amenity,addr:county,addr:district,operator:type,fees,photo,source,operational_status,drinking_water,water:system,pump,name,latitude,longitude,install_year
water_point,aswa,gulu,private_ownership,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F52d14549-67dc-4dbe-b8db-f4b9532c839b%2F1652869682808.jpg,youthmappers_gulu,functional_in_use,yes,combined,no,rainwater_harvest_tank,2.816139,32.3409378,3/9/2022
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fad2ef415-ed31-474a-850d-16a27728f379%2F1653303681076.jpg,youthmappers_gulu,functional_in_use,yes,surfacewater,no,rainwater_harvest_tank,2.9238845,32.2539656,
water_point,aswa,gulu,private_ownership,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fd15b1477-2f41-4b25-84dd-1110de86dd8d%2F1652876829593.jpg,youthmappers_gulu,functional_in_use,yes,surfacewater,yes,rainwater_harvest_tank,2.8025208,32.3412701,10/17/2019
water_point,aswa,gulu,institution,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fb7d3de68-4d50-4838-9630-94916f82b874%2F1652963633403.jpg,youthmappers_gulu,functional_not_in_use,yes,combined,no,rainwater_harvest_tank,2.799103,32.3512224,9/5/2019
water_point,aswa,gulu,private_ownership,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fa7c3cab0-bd39-45d9-838b-9c7fe0c51eb1%2F1652873839988.jpg,youthmappers_gulu,functional_in_use,yes,surfacewater,yes,tap,2.8166514,32.3284831,
water_point,aswa,gulu,community,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fc6af0c8d-1209-439a-bcc9-13afe6ffdf58%2F1653312281596.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,protected_spring,2.8041491,32.249843,10/29/2020
water_point,aswa,gulu,private_ownership,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F65990027-a085-461d-b372-dfce715639af%2F1652957186549.jpg,youthmappers_gulu,non_functional,yes,groundwater,yes,tap,2.7927547,32.3467408,7/10/2013
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Ffa76a001-03d5-4c09-8a28-092d982bd84e%2F1653045507805.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.8210731,32.3377353,
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fe88d6af2-c3fe-442b-94a0-075690b2c613%2F1652965984963.jpg,youthmappers_gulu,functional_in_use,yes,surfacewater,yes,tap,2.7986632,32.3489871,7/15/2015
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fe6ee05f7-39cc-461a-8196-de3eecb426b8%2F1653139570831.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.9141064,32.2998727,5/10/2018
water_point,aswa,gulu,institution,No,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2F09d0eb31-453a-453b-9c98-97e2f3783226%2F1652873350783.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,deep_borehole,2.8234633,32.3516663,4/20/2017
water_point,aswa,gulu,private_ownership,Yes,https://kc.humanitarianresponse.info/media/original?media_file=wava_stella%2Fattachments%2Fb5a9b6358d8141adabcb9d5c4f0dd560%2Fc0e5f42b-3329-46a1-ad5d-0483663ea6be%2F1652874672728.jpg,youthmappers_gulu,functional_in_use,yes,groundwater,yes,tap,2.818035,32.32981,7/9/2021
